checkpoint_key,checkpoint_path,threshold,teams_real_all_dev__n_videos,teams_real_all_dev__real_fpr,teams_real_all_dev__fake_recall,teams_real_poor_quality_dev__n_videos,teams_real_poor_quality_dev__real_fpr,teams_real_poor_quality_dev__fake_recall,teams_real_lighting_extreme_dev__n_videos,teams_real_lighting_extreme_dev__real_fpr,teams_real_lighting_extreme_dev__fake_recall,teams_fake_all_dev__n_videos,teams_fake_all_dev__real_fpr,teams_fake_all_dev__fake_recall,visomaster_enhanced_macro_dev__n_videos,visomaster_enhanced_macro_dev__real_fpr,visomaster_enhanced_macro_dev__fake_recall,deeplive_enhanced_dev__n_videos,deeplive_enhanced_dev__real_fpr,deeplive_enhanced_dev__fake_recall,dev_primary_real_fpr,dev_worst_real_stress_fpr,dev_fake_macro_recall
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741118,3253,0.057793,,923,0.03467,,1401,0.09065,,2409,,0.618514,550,,0.061818,545,,0.662385,0.057793,0.09065,0.447572
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741197,3253,0.057793,,923,0.03467,,1401,0.09065,,2409,,0.618099,550,,0.061818,545,,0.662385,0.057793,0.09065,0.447434
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741277,3253,0.057178,,923,0.033586,,1401,0.089936,,2409,,0.617684,550,,0.061818,545,,0.662385,0.057178,0.089936,0.447296
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741273,3253,0.057485,,923,0.03467,,1401,0.089936,,2409,,0.617684,550,,0.061818,545,,0.662385,0.057485,0.089936,0.447296
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741209,3253,0.057793,,923,0.03467,,1401,0.09065,,2409,,0.617684,550,,0.061818,545,,0.662385,0.057793,0.09065,0.447296
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741327,3253,0.057178,,923,0.033586,,1401,0.089936,,2409,,0.617269,550,,0.061818,545,,0.66055,0.057178,0.089936,0.446546
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741415,3253,0.057178,,923,0.033586,,1401,0.089936,,2409,,0.616853,550,,0.06,545,,0.66055,0.057178,0.089936,0.445801
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741643,3253,0.056563,,923,0.033586,,1401,0.088508,,2409,,0.616438,550,,0.06,545,,0.66055,0.056563,0.088508,0.445663
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741498,3253,0.056871,,923,0.033586,,1401,0.089222,,2409,,0.616438,550,,0.06,545,,0.66055,0.056871,0.089222,0.445663
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741494,3253,0.057178,,923,0.033586,,1401,0.089936,,2409,,0.616438,550,,0.06,545,,0.66055,0.057178,0.089936,0.445663
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741905,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.616023,550,,0.06,545,,0.658716,0.056256,0.088508,0.444913
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741668,3253,0.056563,,923,0.033586,,1401,0.088508,,2409,,0.616023,550,,0.06,545,,0.658716,0.056563,0.088508,0.444913
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.741907,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.615608,550,,0.06,545,,0.658716,0.056256,0.088508,0.444775
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.742073,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.615193,550,,0.06,545,,0.658716,0.056256,0.088508,0.444636
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.742229,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.614778,550,,0.06,545,,0.658716,0.056256,0.088508,0.444498
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.742321,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.614363,550,,0.06,545,,0.658716,0.056256,0.088508,0.44436
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.742547,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.613948,550,,0.06,545,,0.656881,0.056256,0.088508,0.44361
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.742813,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.613533,550,,0.06,545,,0.656881,0.056256,0.088508,0.443471
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.742888,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.613117,550,,0.06,545,,0.656881,0.056256,0.088508,0.443333
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.743158,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.612702,550,,0.06,545,,0.656881,0.056256,0.088508,0.443194
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.743505,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.612287,550,,0.06,545,,0.655046,0.056256,0.088508,0.442444
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.743602,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.611872,550,,0.06,545,,0.653211,0.056256,0.088508,0.441694
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.743674,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.611457,550,,0.06,545,,0.651376,0.056256,0.088508,0.440944
